listing_id,creation_date,location_of_seller,brand,model_name,model_year,engine_displacement,license_rank,kilometrage,amount_of_owners,color,listed_price,active,last_seen,brand_model_name,model_count,model_rank
85383912,2025-01-30,jerusalem area and surroundings,Yamaha,MT 09,2023,900,A,7900,2,Metallic gray,59000.0,1,2025-04-04,Yamaha MT 09,90,1
85751918,2025-02-22,afula and valleys,Yamaha,MT 09,2024,900,A,5000,3,blue,55000.0,1,2025-04-04,Yamaha MT 09,90,1
85893057,2025-03-09,jerusalem area and surroundings,Yamaha,MT 09,2018,900,A,0,5,blue,40000.0,1,2025-04-04,Yamaha MT 09,90,1
87335331,2025-03-23,ashdod askelon,Yamaha,MT 09,2023,900,A,9000,1,black,64000.0,1,2025-04-04,Yamaha MT 09,90,1
87799673,2025-03-29,upper galilee,Yamaha,MT 09,2024,900,A,3000,1,black,0.0,1,2025-04-04,Yamaha MT 09,90,1
87935536,2024-10-13,eilat and arava,Yamaha,MT 09,2021,880,A,18500,4,black,48000.0,1,2025-04-04,Yamaha MT 09,90,1
88217723,2025-02-28,carmiel area,Yamaha,MT 09,2022,900,A,8000,2,gray,55000.0,1,2025-04-04,Yamaha MT 09,90,1
88291943,2025-01-14,beer sheva area,Yamaha,MT 09,2022,900,A,61000,1,gray,46000.0,1,2025-04-04,Yamaha MT 09,90,1
89238404,2025-03-28,hadera area,Yamaha,MT 09,2024,900,A1,25600,1,black,52900.0,1,2025-04-04,Yamaha MT 09,90,1
89405670,2025-01-01,eilat and arava,Yamaha,MT 09,2024,900,A,3000,2,black,59000.0,1,2025-04-04,Yamaha MT 09,90,1
94673369,2025-03-31,tel aviv,Yamaha,MT 09,2025,900,A,997,1,black,75000.0,1,2025-04-02,Yamaha MT 09,90,1
99522407,2025-04-02,tel aviv,Yamaha,MT 09,2023,900,A,19000,3,black,0.0,1,2025-04-04,Yamaha MT 09,90,1
99853161,2025-04-02,hadera area,Yamaha,MT 09,2024,900,A1,25600,1,black,49900.0,1,2025-04-02,Yamaha MT 09,90,1
41421017,2024-12-15,rishon leziion area,Yamaha,MT 07,2023,700,A1,20000,2,black,46000.0,1,2025-04-04,Yamaha MT 07,88,2
41889742,2025-03-26,bnei brak givat shmuel,Yamaha,MT 07,2025,700,A1,600,1,black,52000.0,1,2025-04-04,Yamaha MT 07,88,2
43577735,2025-03-23,yokneam tivon area,Yamaha,MT 07,2024,700,A,10500,2,blue,45000.0,1,2025-04-04,Yamaha MT 07,88,2
43855524,2025-01-12,haifa,Yamaha,MT 07,2024,700,A,2500,2,black,47000.0,1,2025-04-04,Yamaha MT 07,88,2
44787952,2024-08-15,jerusalem area and surroundings,Yamaha,MT 07,2015,700,A,48000,6,gray,23000.0,1,2025-04-04,Yamaha MT 07,88,2
44909661,2025-02-15,upper galilee,Yamaha,MT 07,2021,700,A1,30000,2,black,0.0,1,2025-04-04,Yamaha MT 07,88,2
45203978,2025-02-12,rishon leziion area,Yamaha,MT 07,2015,700,A1,71000,10,black,21900.0,1,2025-04-04,Yamaha MT 07,88,2
45339324,2024-12-23,ashdod askelon,Yamaha,MT 07,2020,700,A,21500,3,Black Metallic,39000.0,1,2025-04-04,Yamaha MT 07,88,2
48500599,2025-03-25,ramle lod,Yamaha,MT 07,2024,700,A1,21000,1,black,0.0,1,2025-04-04,Yamaha MT 07,88,2
48909682,2025-02-06,afula and valleys,Yamaha,MT 07,2023,700,A1,16000,2,gray,45900.0,1,2025-04-04,Yamaha MT 07,88,2
49455463,2025-03-23,nazareth shfaram area,Yamaha,MT 07,2023,700,A1,8100,2,blue,44500.0,1,2025-04-02,Yamaha MT 07,88,2
49908266,2025-04-01,tel aviv,Yamaha,MT 07,2024,700,A1,6800,2,Black Metallic,48000.0,1,2025-04-04,Yamaha MT 07,88,2
51288608,2025-04-02,holon bat yam,Yamaha,MT 07,2024,700,A1,6500,1,black,45000.0,1,2025-04-04,Yamaha MT 07,88,2
51963423,2025-03-12,rosh haaien and surroundings,Yamaha,MT 07,2019,700,A1,40,4,white,0.0,1,2025-04-04,Yamaha MT 07,88,2
52001509,2025-01-29,ramat menashe,Yamaha,MT 07,2023,700,A1,19000,3,black,45000.0,1,2025-04-04,Yamaha MT 07,88,2
52018958,2025-03-28,rishon leziion area,Yamaha,MT 07,2024,700,A1,22000,1,black,42000.0,1,2025-04-04,Yamaha MT 07,88,2
53742746,2025-03-31,upper galilee,Yamaha,MT 07,2023,700,A1,24000,1,black,45000.0,1,2025-04-04,Yamaha MT 07,88,2
54963070,2024-10-01,rosh haaien and surroundings,Yamaha,MT 07,2023,700,A1,22000,3,black,42999.0,1,2025-04-04,Yamaha MT 07,88,2
